ags,ags_lat,ags_lon,nettonennleistung_gesamt,anzahl_gesamt
01001000,54.78515459607737,9.438752082545466,28656.632999999845,1882
01002000,54.32519477737298,10.131725116818265,32303.623999999807,3434
01003000,53.873030732623214,10.727703808286389,41062.32599999986,4298
01004000,54.08167439890346,9.983916088802172,31261.738999999496,2443
01051001,54.13489452307606,9.27973050005305,6774.290000000006,217
01051002,54.16178736398872,9.253114036741966,758.5180000000001,25
01051003,53.942567713714894,9.195611115657202,980.506,49
01051004,54.09761544227164,9.160529094474771,2770.5399999999995,138
01051005,54.22827719486396,9.181582773118976,272.77,21
01051006,54.021202546339154,9.039511239226654,6792.295000000002,115
01051008,54.31728221436097,9.21123035460617,595.2900000000001,15
01051010,54.0091430986171,9.238718436824373,12828.869999999999,34
01051011,53.91127775594383,9.130161927753411,18083.316999999908,826
01051012,53.979070332936764,9.229829700746146,2035.285,129
01051013,54.13808140418098,8.858560593816025,3503.1809999999973,306
01051014,54.14008516100614,8.89557748788613,2388.755,35
01051015,54.16067293116139,9.321901109626728,1504.2899999999993,84
01051016,53.99511556133014,9.270003036232582,2337.598999999999,253
01051017,54.043066089181366,9.035036809499323,13138.924000000005,70
01051019,54.242943614231294,9.388761257491996,1918.3020000000001,78
01051020,54.31294456169334,9.251635383385622,1268.2999999999997,96
01051021,53.94036286761113,9.028046950564875,2379.692,126
01051022,53.96156003666724,9.127043535597032,1326.9899999999998,71
01051023,54.25737890699285,9.319633860097797,6116.235000000003,81
01051024,53.94943565831596,9.14271255388415,1761.0049999999987,140
01051026,54.05564812026184,9.262255743972744,1486.989999999999,90
01051027,54.068713217703355,9.025074957532874,8881.229,170
01051028,54.12135715911403,9.079370797711261,20897.72,111
01051030,54.28035968013256,9.118280813043008,1171.0950000000003,39
01051032,54.02696443780245,9.17889684241867,26952.749999999993,74
01051033,54.15253915083592,8.945769908476922,1445.62,23
01051034,54.006070712660566,8.896702467931041,8770.832000000004,393
01051035,54.196761102360476,9.218056214515423,148.13,12
01051036,54.27039594553022,9.225734746263884,1831.65,49
01051037,54.02761608990532,9.237584643409246,876.0250000000002,69
01051038,54.315763778707115,8.998682856744216,2385.415,23
01051039,54.02365727131803,9.11256347327604,4432.030000000001,37
01051043,54.18080983796359,8.845497511182941,792.4100000000001,17
01051044,54.19366776801544,9.132087216062246,10006.782000000017,818
01051045,54.202478053139124,8.856156965057227,1600.6000000000001,28
01051046,53.974850275724314,9.015207683367487,2490.8849999999998,165
01051047,54.274628489276694,9.004214531572655,1725.3899999999996,62
01051048,54.15032919686886,9.094368694243538,3552.7389999999996,246
01051049,54.29738610351606,9.176485240555968,2647.7349999999988,173
01051050,54.22225803598104,8.873525933246183,811.3400000000001,21
01051051,54.02201420501268,9.286893069778458,1012.3210000000003,91
01051052,54.24143256531055,9.29021816024127,209.69,10
01051053,54.29810012884039,9.222109909834924,492.36500000000007,33
01051054,54.1798306763085,9.30176457154928,392.8,13
01051057,53.9351327839796,8.934019708036185,2300.019999999999,82
01051058,54.29146281674943,8.952367045932224,1628.9650000000004,29
01051060,54.31808118243014,9.132476163204409,810.7100000000002,44
01051061,54.31648110593652,9.039662287868005,735.7650000000002,57
01051062,53.9792848293346,8.970916757678891,8939.435000000003,219
01051063,54.07580966494923,9.192179076739198,1578.7799999999997,70
01051064,53.96743067749433,9.198201408031972,1758.0949999999987,74
01051065,54.35338483375041,9.021063794232264,4709.515000000001,91
01051067,54.15842536645856,9.061367497181275,403.31000000000006,30
01051068,54.25384751840877,9.1949642162537,1844.904,90
01051069,54.183199061939185,9.068899310605511,1435.3489999999986,154
01051071,54.3292918802431,9.041567211172836,494.0700000000001,66
01051072,53.95531613171666,9.016947551794344,5526.761000000005,414
01051073,53.94928742839535,8.990829885150331,582.1440000000002,52
01051074,54.09806135116454,9.073212548961187,10816.529000000004,491
01051075,54.23509854874176,9.004845794604284,16803.221,137
01051076,53.92221130047799,9.028104597029735,3015.9299999999994,105
01051077,53.90543369386795,8.981387123567204,2733.945,43
01051078,54.085492389866914,9.128669607380445,5956.952000000007,133
01051079,54.222159931712675,8.899500765589806,1404.955,57
01051080,54.24836133490112,9.137249144847596,311.475,17
01051081,54.19049081413304,9.01073350160838,1805.5080000000003,45
01051082,54.164977554989505,9.180189928357958,3344.2650000000003,256
01051083,54.143031300254364,9.195137364831654,919.325,48
