tech,yr,bl,avg_cf_gesamt,avg_cf_gesamt_power_weighted,nettonennleistung_gesamt,anzahl_gesamt,act_cf_y,act_cf_y_power_weighted,act_avg_cf_y,act_avg_cf_y_power_weighted,act_energy_y,run_cf_y,run_cf_y_power_weighted,run_avg_cf_y,run_avg_cf_y_power_weighted,run_energy_y
solar,-1,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12705492512716665,0.13073568578536168,,,,,,
solar,1900,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12645714285714285,0.12629936500821753,,,,,,
solar,1907,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12805625,0.12818190789473682,,,,,,
solar,1908,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12579583333333336,0.12579583333333336,,,,,,
solar,1909,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.1293638888888889,0.1296359078356921,,,,,,
solar,1910,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12719999999999998,0.12219439655172412,,,,,,
solar,1911,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.13470416666666665,0.1344037249902469,,,,,,
solar,1912,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.13066666666666668,0.12877038804071247,,,,,,
solar,1913,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.11761250000000001,0.11761250000000001,,,,,,
solar,1914,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.123175,0.12285691052478558,,,,,,
solar,1915,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.13341250000000002,0.13341250000000002,,,,,,
solar,1916,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12174583333333333,0.12394246575342466,,,,,,
solar,1917,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12540625,0.12529894834930777,,,,,,
solar,1918,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.1229875,0.12147337807606265,,,,,,
solar,1923,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12578809523809525,0.12393598326359832,,,,,,
solar,1924,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.1260625,0.1260625,,,,,,
solar,1938,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.1303208333333333,0.1303208333333333,,,,,,
solar,1940,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.1341125,0.1341125,,,,,,
solar,1941,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12871666666666667,0.12871666666666667,,,,,,
solar,1942,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.13857083333333334,0.13857083333333334,,,,,,
solar,1944,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12913333333333335,0.12913333333333335,,,,,,
solar,1947,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.13144583333333335,0.13144583333333335,,,,,,
solar,1949,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12744166666666668,0.12784166666666666,,,,,,
solar,1950,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.10057916666666665,0.10057916666666664,,,,,,
solar,1951,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12722916666666664,0.12722916666666664,,,,,,
solar,1952,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12349722222222222,0.11791222943722943,,,,,,
solar,1953,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.13014583333333332,0.12258181818181818,,,,,,
solar,1954,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12806666666666663,0.1251988550519358,,,,,,
solar,1955,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12369444444444444,0.12445245098039216,,,,,,
solar,1956,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12550833333333333,0.12798927490689016,,,,,,
solar,1957,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12930166666666665,0.12821885964912277,,,,,,
solar,1958,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12464375,0.11934360400883837,,,,,,
solar,1959,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.11988690476190476,0.10586401843669885,,,,,,
solar,1960,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.13246458333333333,0.13459291465378426,,,,,,
solar,1961,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12306354166666666,0.11391841140854045,,,,,,
solar,1962,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.127165,0.12459903461384553,,,,,,
solar,1963,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504,,,0.12970625000000002,0.13094214912280702,,,,,,
