tech,ags,ags_lat,ags_lon,avg_cf_gesamt,avg_cf_gesamt_power_weighted,nettonennleistung_gesamt,anzahl_gesamt
solar,01001000,54.78515459607737,9.438752082545466,0.11099039364151608,0.11290773079583906,28656.633000000053,1882
solar,01002000,54.32519477737298,10.131725116818265,0.10967924310813404,0.11102671702355583,32303.624000000065,3434
solar,01003000,53.873030732623214,10.727703808286389,0.11050765181479659,0.11094304194758425,41062.325999999586,4298
solar,01004000,54.08167439890346,9.983916088802172,0.11018635898485606,0.11158616745803306,31261.739000000045,2443
solar,01051001,54.13489452307606,9.27973050005305,0.11260577956989247,0.11409213126332556,6774.289999999997,217
solar,01051002,54.16178736398872,9.253114036741966,0.11262266666666668,0.11372987000088772,758.518,25
solar,01051003,53.942567713714894,9.195611115657202,0.11022627551020406,0.11368456565198647,980.5060000000003,49
solar,01051004,54.09761544227164,9.160529094474771,0.11246853864734299,0.11393067248021443,2770.54,138
solar,01051005,54.22827719486396,9.181582773118976,0.11415357142857144,0.11354583394434874,272.77,21
solar,01051006,54.021202546339154,9.039511239226654,0.11358199275362321,0.11642377969878612,6792.295,115
solar,01051008,54.31728221436097,9.21123035460617,0.11362722222222224,0.11160889083471921,595.29,15
solar,01051010,54.0091430986171,9.238718436824373,0.1118768382352941,0.11530003820159788,12828.87,34
solar,01051011,53.91127775594383,9.130161927753411,0.10998535613397904,0.11384819254122462,18083.317,826
solar,01051012,53.979070332936764,9.229829700746146,0.11134211886304908,0.11269275620490496,2035.2850000000003,129
solar,01051013,54.13808140418098,8.858560593816025,0.11260392156862746,0.11366322688222505,3503.1809999999987,306
solar,01051014,54.14008516100614,8.89557748788613,0.11337059523809523,0.11779926422620428,2388.755,35
solar,01051015,54.16067293116139,9.321901109626728,0.1128013392857143,0.11440552453316848,1504.29,84
solar,01051016,53.99511556133014,9.270003036232582,0.11075887681159416,0.11244606525220967,2337.599,253
solar,01051017,54.043066089181366,9.035036809499323,0.11299166666666671,0.11670878679575787,13138.924000000003,70
solar,01051019,54.242943614231294,9.388761257491996,0.11231057692307694,0.11380944518251036,1918.3019999999997,78
solar,01051020,54.31294456169334,9.251635383385622,0.11256527777777776,0.11421902172199005,1268.3000000000002,96
solar,01051021,53.94036286761113,9.028046950564875,0.11185916005291008,0.11455466260794814,2379.692,126
solar,01051022,53.96156003666724,9.127043535597032,0.11034730046948357,0.1120891833836979,1326.9900000000002,71
solar,01051023,54.25737890699285,9.319633860097797,0.1141171296296296,0.11644738054402201,6116.235,81
solar,01051024,53.94943565831596,9.14271255388415,0.11044741071428568,0.11202051483622515,1761.0050000000006,140
solar,01051026,54.05564812026184,9.262255743972744,0.11193175925925926,0.11387116540797183,1486.9899999999998,90
solar,01051027,54.068713217703355,9.025074957532874,0.11294811274509797,0.11543948171427999,8881.229000000001,170
solar,01051028,54.12135715911403,9.079370797711261,0.11304936186186186,0.11696740365396319,20897.72,111
solar,01051030,54.28035968013256,9.118280813043008,0.11423002136752139,0.11627743171632818,1171.095,39
solar,01051032,54.02696443780245,9.17889684241867,0.11270140765765765,0.11528243011690203,26952.750000000004,74
solar,01051033,54.15253915083592,8.945769908476922,0.1161574275362319,0.11618271350124283,1445.6200000000001,23
solar,01051034,54.006070712660566,8.896702467931041,0.11021348600508907,0.11063660417278541,8770.832000000002,393
solar,01051035,54.196761102360476,9.218056214515423,0.10923923611111112,0.11122117650037128,148.13,12
solar,01051036,54.27039594553022,9.225734746263884,0.11435748299319726,0.11525997095060009,1831.65,49
solar,01051037,54.02761608990532,9.237584643409246,0.11269227053140093,0.11263225176697772,876.0250000000001,69
solar,01051038,54.315763778707115,8.998682856744216,0.11412119565217393,0.11605324559178731,2385.415,23
solar,01051039,54.02365727131803,9.11256347327604,0.11159234234234235,0.11696088355674486,4432.03,37
solar,01051043,54.18080983796359,8.845497511182941,0.11411397058823529,0.11599215846804894,792.4100000000001,17
solar,01051044,54.19366776801544,9.132087216062246,0.11138926752241259,0.11202122000400977,10006.782000000014,818
solar,01051045,54.202478053139124,8.856156965057227,0.11565803571428569,0.11658900610187846,1600.6,28
solar,01051046,53.974850275724314,9.015207683367487,0.11169863636363633,0.11405140764895479,2490.8849999999993,165
solar,01051047,54.274628489276694,9.004214531572655,0.11409119623655914,0.11537424070306808,1725.3900000000003,62
solar,01051048,54.15032919686886,9.094368694243538,0.11145435298102987,0.11279594080440476,3552.7389999999978,246
solar,01051049,54.29738610351606,9.176485240555968,0.1135559971098266,0.11380612879971,2647.7349999999988,173
solar,01051050,54.22225803598104,8.873525933246183,0.11721865079365076,0.1189038257697143,811.34,21
solar,01051051,54.02201420501268,9.286893069778458,0.11063250915750915,0.11162719807995683,1012.3210000000001,91
solar,01051052,54.24143256531055,9.29021816024127,0.11051125000000002,0.11472525434371375,209.69,10
solar,01051053,54.29810012884039,9.222109909834924,0.1088280303030303,0.1100343745239812,492.365,33
solar,01051054,54.1798306763085,9.30176457154928,0.11641923076923079,0.11654950356415478,392.79999999999995,13
solar,01051057,53.9351327839796,8.934019708036185,0.11190767276422764,0.11373750874992392,2300.02,82
solar,01051058,54.29146281674943,8.952367045932224,0.11703232758620691,0.11755969631534952,1628.9650000000001,29
solar,01051060,54.31808118243014,9.132476163204409,0.1111809659090909,0.10809237782314267,810.71,44
solar,01051061,54.31648110593652,9.039662287868005,0.11234488304093566,0.111081249787636,735.7650000000001,57
solar,01051062,53.9792848293346,8.970916757678891,0.11288923135464231,0.1148044237765026,8939.435000000001,219
