tech,ags,ags_lat,ags_lon,avg_cf_gesamt,avg_cf_gesamt_power_weighted,nettonennleistung_gesamt,anzahl_gesamt
wind,01001000,54.78515459607737,9.438752082545466,0.3413330128205129,0.35776492122493536,73310.0,26
wind,01002000,54.32519477737298,10.131725116818265,0.3731541666666667,0.3731541666666667,75.0,1
wind,01003000,53.873030732623214,10.727703808286389,0.2493129901960785,0.2664861916951081,14650.0,17
wind,01051001,54.13489452307606,9.27973050005305,0.3727354166666667,0.3725221110164679,29350.0,8
wind,01051003,53.942567713714894,9.195611115657202,0.10367083333333331,0.10367083333333332,11.0,1
wind,01051004,54.09761544227164,9.160529094474771,0.13228750000000003,0.13228750000000003,6.0,1
wind,01051006,54.021202546339154,9.039511239226654,0.3783065217391307,0.39285746476362826,72936.0,23
wind,01051011,53.91127775594383,9.130161927753411,0.3158822278911566,0.32693960423473295,255266.0,98
wind,01051015,54.16067293116139,9.321901109626728,0.1505875,0.1505875,6.0,1
wind,01051017,54.043066089181366,9.035036809499323,0.33490208333333327,0.39872147435897426,6500.0,2
wind,01051019,54.242943614231294,9.388761257491996,0.11883750000000004,0.11883750000000004,6.0,1
wind,01051021,53.94036286761113,9.028046950564875,0.3628845833333334,0.3729741901776384,31900.0,10
wind,01051022,53.96156003666724,9.127043535597032,0.3119625,0.3119625,26960.0,8
wind,01051026,54.05564812026184,9.262255743972744,0.34026527777777776,0.3474206080283353,42350.0,12
wind,01051027,54.068713217703355,9.025074957532874,0.21697656250000003,0.2626710916223577,2621.74,8
wind,01051028,54.12135715911403,9.079370797711261,0.22072222222222218,0.2618979166666666,956.0,3
wind,01051030,54.28035968013256,9.118280813043008,0.2281208333333333,0.2281208333333333,29.8,1
wind,01051033,54.15253915083592,8.945769908476922,0.3223600378787879,0.337437568119891,36700.0,22
wind,01051034,54.006070712660566,8.896702467931041,0.2846766287878786,0.30030866440952464,241825.0,110
wind,01051037,54.02761608990532,9.237584643409246,0.06139166666666666,0.06139166666666666,1.0,1
wind,01051038,54.315763778707115,8.998682856744216,0.38729166666666676,0.38729166666666676,4800.0,1
wind,01051039,54.02365727131803,9.11256347327604,0.4103249999999999,0.4103249999999999,12000.0,2
wind,01051043,54.18080983796359,8.845497511182941,0.41358244047619047,0.43280642161228067,78605.0,28
wind,01051044,54.19366776801544,9.132087216062246,0.22156041666666665,0.2965513100572566,669.5,2
wind,01051045,54.202478053139124,8.856156965057227,0.4295645833333333,0.44200602257572863,52490.0,22
wind,01051046,53.974850275724314,9.015207683367487,0.34241907051282056,0.3516029551036795,70570.0,26
wind,01051047,54.274628489276694,9.004214531572655,0.33591241319444415,0.3418607228262034,171731.0,96
wind,01051048,54.15032919686886,9.094368694243538,0.40193333333333336,0.3919874585406301,4020.0,2
wind,01051049,54.29738610351606,9.176485240555968,0.3030063725490196,0.3565769525267168,38630.5,17
wind,01051050,54.22225803598104,8.873525933246183,0.3267410714285715,0.3283417814622035,27857.5,14
wind,01051052,54.24143256531055,9.29021816024127,0.1505875,0.1505875,6.0,1
wind,01051053,54.29810012884039,9.222109909834924,0.39703749999999993,0.39703749999999993,6000.0,1
wind,01051057,53.9351327839796,8.934019708036185,0.2555395,0.26216967840181027,50674.0,25
wind,01051058,54.29146281674943,8.952367045932224,0.31933,0.36328089246885736,32806.0,10
wind,01051061,54.31648110593652,9.039662287868005,0.2196145833333334,0.22127272727272734,27.5,2
wind,01051062,53.9792848293346,8.970916757678891,0.32083857758620676,0.32883056615120265,145500.0,58
wind,01051063,54.07580966494923,9.192179076739198,0.3802083333333334,0.3802083333333335,15000.0,3
wind,01051065,54.35338483375041,9.021063794232264,0.2721833333333334,0.2721833333333334,900.0,2
wind,01051067,54.15842536645856,9.061367497181275,0.3322927083333333,0.3536719696969697,12100.0,4
wind,01051069,54.183199061939185,9.068899310605511,0.37961249999999996,0.4213021471371504,7510.0,3
wind,01051073,53.94928742839535,8.990829885150331,0.16078333333333333,0.16078333333333333,6.0,1
wind,01051074,54.09806135116454,9.073212548961187,0.1957333333333334,0.1957333333333334,10.0,1
wind,01051075,54.23509854874176,9.004845794604284,0.40647586206896547,0.4133297040265997,101856.0,29
wind,01051077,53.90543369386795,8.981387123567204,0.30226041666666664,0.3093202614379085,2550.0,2
wind,01051078,54.085492389866914,9.128669607380445,0.13228750000000003,0.13228750000000003,14.0,2
wind,01051079,54.222159931712675,8.899500765589806,0.32174401041666667,0.3385295369468477,34906.0,16
wind,01051080,54.24836133490112,9.137249144847596,0.3803166666666667,0.3803166666666667,16500.0,5
wind,01051081,54.19049081413304,9.01073350160838,0.37280701754385964,0.38315431203663325,114650.0,38
wind,01051082,54.164977554989505,9.180189928357958,0.16725416666666668,0.16725416666666668,7.0,1
wind,01051084,54.15943949519724,8.899314908324566,0.28996249999999996,0.3491844626168224,2675.0,4
wind,01051086,54.19037966606099,9.378398324246959,0.33754999999999996,0.3376852969348659,19575.0,6
wind,01051090,53.94037752782784,9.08507630780259,0.34799652777777773,0.39152529537782393,23106.0,6
wind,01051092,54.29324829247297,9.047979094926983,0.21368125000000002,0.21654861111111115,22.5,2
wind,01051093,54.17763178770132,8.910443118150287,0.28841722222222205,0.2913248641304346,33120.0,15
wind,01051097,53.992451994657344,9.125164136800967,0.2869694444444445,0.32701022607119673,52647.5,24
wind,01051100,54.244879851017046,9.247688930849584,0.1505875,0.1505875,6.0,1
wind,01051102,54.31263810186528,9.096349979149217,0.1924375,0.1924375,6.0,1
wind,01051103,53.92888797434223,9.041368857928859,0.41681250000000003,0.4168125,9000.0,3
wind,01051104,54.18102501912418,9.267851063698114,0.36844583333333336,0.36844583333333336,9.8,1
wind,01051105,54.244657469109896,8.93091840759805,0.36176286231884053,0.3819279089664613,48700.0,23
wind,01051107,54.25862714762373,9.061115673091741,0.4260386904761905,0.4264167708333333,24000.0,7
wind,01051108,54.26115944857815,8.966732406709067,0.3544388888888888,0.3542141225337487,32100.0,12
